HPC-D1092K DELTA WASH D60 WM PREMIUM;Naphta (petroleum), hydrotreated heavy@64742-48-9@80 - 100%
HSW 9294;Hydrocarbons, C13-C15, n-alkanes, isoalkanes, cyclics, <2% aromatics@64742-47-8@>=25 - <=35|Hydrocarbons, C12-C15, n-alkanes, isoalkanes, cyclics, <2% aromatics@64742-47-8@<=10|Hydrocarbons, C13-C18, n-alkanes, isoalkanes, cyclics, <2% aromatics@64742-47-8@<=10|Hydrocarbons, C13-C16, n-alkanes, isoalkanes, cyclics, <2% aromatics@64742-47-8@<=10
IBS-Spezialreiniger 100PLUS;Kohlenwasserstoffe, C12-C15, n-Alkane, Isoalkane, Cyclene, <2% Aromaten@@25-50%|Kohlenwasserstoffe, C13-C16, Isoalkane, Cycloalkane, <2% Aromaten@@25-50%|Kohlenwasserstoffe, C13-C18, n-Alkane,iso-Alkane, cyclische Verbindungen, <2% Aromaten@@25-50%
IBS-Spezialreiniger EL/Extra;Isoparaffinische Kohlenwasserstoffe, C10-13 @@50-100%|aliphatische Kohlenwasserstoffe @@ ≥30%
METACLEAN GTW 60;Kohlenwasserstoffe, C10-C13, n-Alkane, Isoalkane, Cyclene, <2% Aromaten@@50 - 100%|Fettalkohol, ethoxyliert@68439-50-9@<3%
Moecol GW 60;Kohlenwasserstoffe, C10-C13, n-Alkane, Isoalkane, Cyclene, <2% Aromaten@@50 - 100%|2-Methoxy-methylethoxy-propanol@34590-94-8@2,5 - 10%
Moecol UV 4;2-Methoxy-methylethoxy-propanol@34590-94-8@> 90%
MultiClean UV;Aliphatischer Alkohol, ethoxyliert@68439-50-9@>= 0,1% - < 1%|(2-Methoxymethylethoxy)-propanol (Isomerengemisch@34590-94-8 @< 50%
Natural wash;"Hydrocarbons, C12-C15, n-alkanes, isoalkanes < 2% aromatic@64742-47-8@>=50%; <75%|di-tert.butyl-p-cresol@128-37-0@0,25%"
Natursol;Hydrocarbons, C12-C15, n-alkanes isoalkanes, <2% aromatics@@90 <= x < 100
Neutrasys Hydro;nichtionische Tenside@@1-5%|2-(2-Butoxyethoxy)ethanol@112-34-5@5-15%|Triethanolamin@102-71-6@1-5%
Neutrasys Intens;2-Methoxy-methylethoxy-propanol@34590-94-8@>30%|4-Hydroxy-4-methyl-pentan-2-on@123-42-2@5-15%|DECETH-8@26183-52-8@5-15%
Neutrasys Vernis;nichtionische Tenside@@1-5%|2-(2-Butoxyethoxy)ethanol@112-34-5@5-15%|Triethanolamin@102-71-6@1-5%
News 75 wash;Hydrooarbons, C11-C14, n-alkanes, isoalkanes,cyclios, <2%aromatics@64742-47-8@>=90%|Hydrooarbons, C12-C15, n-alkanes, isoalkanes<2% aromatics@64742-47-8@<10%
News 100 wash;"Hydrocarbons, C12-C15, n-alkanes, isoalkanes < 2% aromatics@64742-47-8@>=50%;<75%|Hydrocarbons, C11-C14, n-alkanes, isoalkanes, cyclics, <2% aromatics@64742-47-8@>=25;<35%"
Newsclean 80;Kohlenwasserstoffe,  C11-C14, n-Alkane, Isoalkane, zyklische Verbindungen, <2% Aromaten@64742-47-8@>=50%
Newsclean 100 / 1.0;"Hydrocarbons, C12-C15, n-alkanes, isoalkanes,cyclics, <2%aromatics@@>=70%; <100%"
Non VOC Wash;Hydrocarbons, C12-C15, n-alkanes, isoalkanes < 2% aromatics @64742-47-8@>=90%|di-tert.butyl-p-cresol@128-37-0@<0,25%
Nova-N-366 UVA;Dipropylene Glycol Methyl Ether@34590-94-8@80% - 90%
